T(s),S1-1B-D,S1-1B-S,S1-2B-D,S1-2B-S,S1-3B-D,S1-3B-S,S1-4B-D,S1-4B-S,S1-5B-D,S1-5B-S,S1-6B-D,S1-6B-S,S1-7B-D,S1-7B-S,S1-8B-D,S1-8B-S
10,293.6665788,293.6648115,293.6137642,293.7250145,293.643709,293.565708,293.7046612,293.5808244,293.7320332,293.6960467,293.7719663,293.900534,293.6728276,293.668211,293.6234331,293.5141437
11,293.7142879,293.7124864,293.6589543,293.77808,293.691516,293.6062089,293.7579299,293.6221735,293.7866295,293.7483411,293.8300787,293.9700796,293.723101,293.7182101,293.669271,293.5499973
12,293.7619971,293.7601613,293.7041445,293.8311456,293.739323,293.6467098,293.8111985,293.6635226,293.8412259,293.8006356,293.8881911,294.0396252,293.7733744,293.7682092,293.7151088,293.585851
13,293.8097062,293.8078362,293.7493346,293.8842112,293.7871299,293.6872108,293.8644672,293.7048717,293.8958222,293.85293,293.9463036,294.1091709,293.8236477,293.8182083,293.7609467,293.6217047
14,293.8574154,293.8555111,293.7945247,293.9372767,293.8349369,293.7277117,293.9177359,293.7462208,293.9504185,293.9052245,294.004416,294.1787165,293.8739211,293.8682074,293.8067846,293.6575584
15,293.9042012,293.9023613,293.8393657,293.989237,293.8822533,293.7678721,293.9703334,293.7870931,294.004071,293.9568081,294.0613792,294.2466918,293.92357,293.9176206,293.852152,293.6932286
16,293.9500556,293.9483797,293.8838547,294.0400827,293.929075,293.8076889,294.0222539,293.8274844,294.0567716,294.0076748,294.1171832,294.3130832,293.9725891,293.9664431,293.8970451,293.7287139
17,293.9955155,293.9940456,293.9281944,294.090456,293.975687,293.8473601,294.0738875,293.867672,294.1090687,294.0582378,294.1724961,294.3788036,294.0213413,294.0150152,293.9417372,293.7641207
18,294.0405807,294.039359,293.972385,294.1403571,294.0220894,293.8868858,294.1252343,293.9076559,294.1609625,294.108497,294.2273178,294.4438529,294.0698267,294.0633369,293.9862283,293.7994492
19,294.0852513,294.08432,294.0164263,294.1897858,294.0682822,293.9262659,294.1762943,293.9474359,294.212453,294.1584525,294.2816484,294.5082311,294.1180452,294.1114083,294.0305184,293.8346993
20,294.1295273,294.1289285,294.0603185,294.2387421,294.1142653,293.9655004,294.2270674,293.9870122,294.2635401,294.2081041,294.3354879,294.5719382,294.1659967,294.1592294,294.0746074,293.869871
21,294.1734087,294.1731846,294.1040615,294.2872262,294.1600388,294.0045894,294.2775537,294.0263847,294.3142238,294.2574521,294.3888362,294.6349742,294.2136815,294.2068001,294.1184954,293.9049643
22,294.2168955,294.2170882,294.1476553,294.335238,294.2056026,294.0435329,294.3277532,294.0655535,294.3645042,294.3064962,294.4416934,294.6973391,294.2610993,294.2541204,294.1621825,293.9399792
23,294.2599876,294.2606394,294.1910999,294.3827774,294.2509569,294.0823308,294.3776657,294.1045185,294.4143812,294.3552366,294.4940594,294.7590329,294.3082503,294.3011904,294.2056685,293.9749157
24,294.3026852,294.3038381,294.2343953,294.4298445,294.2961015,294.1209831,294.4272915,294.1432797,294.4638549,294.4036732,294.5459342,294.8200557,294.3551344,294.3480101,294.2489535,294.0097738
25,294.3449881,294.3466844,294.2775416,294.4764393,294.3410364,294.1594898,294.4766304,294.1818371,294.5129251,294.451806,294.5973179,294.8804073,294.4017516,294.3945794,294.2920375,294.0445536
26,294.3868964,294.3891782,294.3205386,294.5225617,294.3857617,294.197851,294.5256824,294.2201908,294.5615921,294.4996351,294.6482105,294.9400878,294.448102,294.4408983,294.3349204,294.0792549
27,294.4284101,294.4313195,294.3633865,294.5682119,294.4302774,294.2360666,294.5744476,294.2583407,294.6098556,294.5471604,294.6986119,294.9990973,294.4941855,294.4869669,294.3776024,294.1138779
28,294.4695292,294.4731084,294.4060851,294.6133897,294.4745834,294.2741367,294.622926,294.2962868,294.6577158,294.5943819,294.7485222,295.0574356,294.5400021,294.5327852,294.4200833,294.1484225
29,294.5103642,294.5146486,294.4485796,294.6581966,294.5186321,294.3120247,294.6710679,294.3340318,294.7052107,294.6412633,294.7979839,295.1151473,294.5855115,294.5783018,294.4623225,294.1828534
30,294.5512921,294.5562942,294.4906823,294.7029782,294.5622602,294.3496062,294.7187038,294.3715847,294.7524699,294.6876804,294.8471424,295.1723839,294.6305758,294.6233417,294.5041811,294.2170505
31,294.5919012,294.5976584,294.5325982,294.747357,294.605646,294.3870172,294.7660188,294.4089357,294.7993517,294.7337688,294.8958389,295.2289798,294.6753456,294.6680962,294.5458108,294.2511451
32,294.6321913,294.6387413,294.5743272,294.7913329,294.6487894,294.4242576,294.813013,294.4460847,294.8458562,294.7795285,294.9440735,295.284935,294.7198209,294.7125652,294.5872116,294.2851371
33,294.6721625,294.6795427,294.6158694,294.8349059,294.6916904,294.4613275,294.8596864,294.4830317,294.8919834,294.8249594,294.9918461,295.3402496,294.7640017,294.7567486,294.6283834,294.3190266
