T(s),S1-1B-D,S1-1B-S,S1-2B-D,S1-2B-S,S1-3B-D,S1-3B-S,S1-4B-D,S1-4B-S,S1-5B-D,S1-5B-S,S1-6B-D,S1-6B-S,S1-7B-D,S1-7B-S,S1-8B-D,S1-8B-S
2226,310.1808246,310.1814957,310.2008324,310.1566813,310.2040164,310.1677903,310.2001766,310.0625722,310.219837,310.1997007,310.2429736,310.2224707,310.2017475,310.1927688,310.2117804,310.1670316
2227,310.1839807,310.1846403,310.203988,310.1598019,310.2071386,310.1709534,310.2032975,310.0656739,310.222968,310.2028287,310.2461594,310.2255597,310.2048842,310.1958832,310.2149444,310.17022
2228,310.1871368,310.1877848,310.2071436,310.1629225,310.2102608,310.1741164,310.2064184,310.0687757,310.226099,310.2059566,310.2493452,310.2286488,310.2080208,310.1989975,310.2181083,310.1734084
2229,310.1902929,310.1909293,310.2102992,310.166043,310.2133831,310.1772795,310.2095393,310.0718775,310.22923,310.2090846,310.252531,310.2317379,310.2111575,310.2021118,310.2212723,310.1765968
2230,310.193449,310.1940738,310.2134548,310.1691636,310.2165053,310.1804426,310.2126602,310.0749793,310.232361,310.2122126,310.2557168,310.2348269,310.2142942,310.2052262,310.2244363,310.1797851
2231,310.1966051,310.1972183,310.2166104,310.1722842,310.2196275,310.1836057,310.2157811,310.0780811,310.235492,310.2153405,310.2589026,310.237916,310.2174308,310.2083405,310.2276002,310.1829735
2232,310.1997611,310.2003629,310.219766,310.1754048,310.2227497,310.1867687,310.2189021,310.0811828,310.238623,310.2184685,310.2620883,310.2410051,310.2205675,310.2114548,310.2307642,310.1861619
2233,310.2029172,310.2035074,310.2229216,310.1785253,310.2258719,310.1899318,310.222023,310.0842846,310.241754,310.2215965,310.2652741,310.2440941,310.2237042,310.2145692,310.2339281,310.1893502
2234,310.2060733,310.2066519,310.2260772,310.1816459,310.2289941,310.1930949,310.2251439,310.0873864,310.2448849,310.2247244,310.2684599,310.2471832,310.2268408,310.2176835,310.2370921,310.1925386
2235,310.2092294,310.2097964,310.2292328,310.1847665,310.2321163,310.196258,310.2282648,310.0904882,310.2480159,310.2278524,310.2716457,310.2502723,310.2299775,310.2207978,310.2402561,310.195727
2236,310.2123855,310.212941,310.2323884,310.1878871,310.2352385,310.199421,310.2313857,310.09359,310.2511469,310.2309804,310.2748315,310.2533613,310.2331142,310.2239122,310.24342,310.1989154
2237,310.2155416,310.2160855,310.2355439,310.1910076,310.2383607,310.2025841,310.2345066,310.0966917,310.2542779,310.2341083,310.2780173,310.2564504,310.2362508,310.2270265,310.246584,310.2021037
2238,310.2186977,310.21923,310.2386995,310.1941282,310.2414829,310.2057472,310.2376275,310.0997935,310.2574089,310.2372363,310.2812031,310.2595395,310.2393875,310.2301408,310.2497479,310.2052921
2239,310.2218538,310.2223745,310.2418551,310.1972488,310.2446051,310.2089103,310.2407485,310.1028953,310.2605399,310.2403643,310.2843889,310.2626285,310.2425242,310.2332552,310.2529119,310.2084805
2240,310.2250099,310.2255191,310.2450107,310.2003694,310.2477274,310.2120734,310.2438694,310.1059971,310.2636709,310.2434922,310.2875747,310.2657176,310.2456608,310.2363695,310.2560759,310.2116689
2241,310.228166,310.2286636,310.2481663,310.2034899,310.2508496,310.2152364,310.2469903,310.1090989,310.2668018,310.2466202,310.2907604,310.2688067,310.2487975,310.2394838,310.2592398,310.2148572
2242,310.231322,310.2318081,310.2513219,310.2066105,310.2539718,310.2183995,310.2501112,310.1122006,310.2699328,310.2497482,310.2939462,310.2718958,310.2519342,310.2425982,310.2624038,310.2180456
2243,310.2344781,310.2349526,310.2544775,310.2097311,310.257094,310.2215626,310.2532321,310.1153024,310.2730638,310.2528761,310.297132,310.2749848,310.2550708,310.2457125,310.2655677,310.221234
2244,310.2376342,310.2380972,310.2576331,310.2128516,310.2602162,310.2247257,310.256353,310.1184042,310.2761948,310.2560041,310.3003178,310.2780739,310.2582075,310.2488268,310.2687317,310.2244223
2245,310.2407903,310.2412417,310.2607887,310.2159722,310.2633384,310.2278887,310.259474,310.121506,310.2793258,310.2591321,310.3035036,310.281163,310.2613442,310.2519412,310.2718957,310.2276107
2246,310.2439464,310.2443862,310.2639443,310.2190928,310.2664606,310.2310518,310.2625949,310.1246078,310.2824568,310.26226,310.3066894,310.284252,310.2644808,310.2550555,310.2750596,310.2307991
2247,310.2471025,310.2475307,310.2670999,310.2222134,310.2695828,310.2342149,310.2657158,310.1277096,310.2855878,310.265388,310.3098752,310.2873411,310.2676175,310.2581698,310.2782236,310.2339875
2248,310.2502586,310.2506752,310.2702554,310.2253339,310.272705,310.237378,310.2688367,310.1308113,310.2887187,310.268516,310.313061,310.2904302,310.2707542,310.2612842,310.2813875,310.2371758
2249,310.2534147,310.2538198,310.273411,310.2284545,310.2758272,310.240541,310.2719576,310.1339131,310.2918497,310.2716439,310.3162467,310.2935192,310.2738908,310.2643985,310.2845515,310.2403642
2250,310.2565708,310.2569643,310.2765666,310.2315751,310.2789495,310.2437041,310.2750785,310.1370149,310.2949807,310.2747719,310.3194325,310.2966083,310.2770275,310.2675129,310.2877154,310.2435526
2251,310.2597268,310.2601088,310.2797222,310.2346957,310.2820717,310.2468672,310.2781994,310.1401167,310.2981117,310.2778998,310.3226183,310.2996974,310.2801642,310.2706272,310.2908794,310.246741
2252,310.2628829,310.2632533,310.2828778,310.2378162,310.2851939,310.2500303,310.2813204,310.1432185,310.3012427,310.2810278,310.3258041,310.3027864,310.2833008,310.2737415,310.2940434,310.2499293
2253,310.266039,310.2663979,310.2860334,310.2409368,310.2883161,310.2531933,310.2844413,310.1463202,310.3043737,310.2841558,310.3289899,310.3058755,310.2864375,310.2768559,310.2972073,310.2531177
2254,310.2691951,310.2695424,310.289189,310.2440574,310.2914383,310.2563564,310.2875622,310.149422,310.3075047,310.2872837,310.3321757,310.3089646,310.2895742,310.2799702,310.3003713,310.2563061
2255,310.2723512,310.2726869,310.2923446,310.247178,310.2945605,310.2595195,310.2906831,310.1525238,310.3106356,310.2904117,310.3353615,310.3120536,310.2927108,310.2830845,310.3035352,310.2594944
2256,310.2755073,310.2758314,310.2955002,310.2502985,310.2976827,310.2626826,310.293804,310.1556256,310.3137666,310.2935397,310.3385473,310.3151427,310.2958475,310.2861989,310.3066992,310.2626828
2257,310.2786634,310.278976,310.2986558,310.2534191,310.3008049,310.2658456,310.2969249,310.1587274,310.3168976,310.2966676,310.3417331,310.3182318,310.2989842,310.2893132,310.3098632,310.2658712
2258,310.2818195,310.2821205,310.3018114,310.2565397,310.3039271,310.2690087,310.3000458,310.1618291,310.3200286,310.2997956,310.3449188,310.3213208,310.3021208,310.2924275,310.3130271,310.2690596
2259,310.2849756,310.285265,310.3049669,310.2596602,310.3070493,310.2721718,310.3031668,310.1649309,310.3231596,310.3029236,310.3481046,310.3244099,310.3052575,310.2955419,310.3161911,310.2722479
2260,310.2881316,310.2884095,310.3081225,310.2627808,310.3101715,310.2753349,310.3062877,310.1680327,310.3262906,310.3060515,310.3512904,310.327499,310.3083942,310.2986562,310.319355,310.2754363
2261,310.2912877,310.291554,310.3112781,310.2659014,310.3132938,310.2784979,310.3094086,310.1711345,310.3294216,310.3091795,310.3544762,310.3305881,310.3115308,310.3017705,310.322519,310.2786247
2262,310.2944438,310.2946986,310.3144337,310.269022,310.316416,310.281661,310.3125295,310.1742363,310.3325526,310.3123075,310.357662,310.3336771,310.3146675,310.3048849,310.325683,310.2818131
2263,310.2975999,310.2978431,310.3175893,310.2721425,310.3195382,310.2848241,310.3156504,310.177338,310.3356835,310.3154354,310.3608478,310.3367662,310.3178042,310.3079992,310.3288469,310.2850014
2264,310.300756,310.3009876,310.3207449,310.2752631,310.3226604,310.2879872,310.3187713,310.1804398,310.3388145,310.3185634,310.3640336,310.3398553,310.3209408,310.3111135,310.3320109,310.2881898
2265,310.3039121,310.3041321,310.3239005,310.2783837,310.3257826,310.2911502,310.3218922,310.1835416,310.3419455,310.3216914,310.3672194,310.3429443,310.3240775,310.3142279,310.3351748,310.2913782
2266,310.3070682,310.3072767,310.3270561,310.2815043,310.3289048,310.2943133,310.3250132,310.1866434,310.3450765,310.3248193,310.3704052,310.3460334,310.3272142,310.3173422,310.3383388,310.2945665
2267,310.3102243,310.3104212,310.3302117,310.2846248,310.332027,310.2974764,310.3281341,310.1897452,310.3482075,310.3279473,310.3735909,310.3491225,310.3303508,310.3204565,310.3415028,310.2977549
2268,310.3133804,310.3135657,310.3333673,310.2877454,310.3351492,310.3006395,310.331255,310.1928469,310.3513385,310.3310753,310.3767767,310.3522115,310.3334875,310.3235709,310.3446667,310.3009433
2269,310.3165365,310.3167102,310.3365229,310.290866,310.3382714,310.3038026,310.3343759,310.1959487,310.3544695,310.3342032,310.3799625,310.3553006,310.3366242,310.3266852,310.3478307,310.3041317
2270,310.3196925,310.3198548,310.3396784,310.2939865,310.3413936,310.3069656,310.3374968,310.1990505,310.3576004,310.3373312,310.3831483,310.3583897,310.3397608,310.3297995,310.3509946,310.30732
2271,310.3228486,310.3229993,310.342834,310.2971071,310.3445159,310.3101287,310.3406177,310.2021523,310.3607314,310.3404592,310.3863341,310.3614787,310.3428975,310.3329139,310.3541586,310.3105084
2272,310.3260047,310.3261438,310.3459896,310.3002277,310.3476381,310.3132918,310.3437386,310.2052541,310.3638624,310.3435871,310.3895199,310.3645678,310.3460342,310.3360282,310.3573225,310.3136968
2273,310.3291608,310.3292883,310.3491452,310.3033483,310.3507603,310.3164549,310.3468596,310.2083558,310.3669934,310.3467151,310.3927057,310.3676569,310.3491708,310.3391425,310.3604865,310.3168852
2274,310.3323169,310.3324328,310.3523008,310.3064688,310.3538825,310.3196179,310.3499805,310.2114576,310.3701244,310.3498431,310.3958915,310.3707459,310.3523075,310.3422569,310.3636505,310.3200735
2275,310.335473,310.3355774,310.3554564,310.3095894,310.3570047,310.322781,310.3531014,310.2145594,310.3732554,310.352971,310.3990773,310.373835,310.3554442,310.3453712,310.3668144,310.3232619
2276,310.3386291,310.3387219,310.358612,310.31271,310.3601269,310.3259441,310.3562223,310.2176612,310.3763864,310.356099,310.402263,310.3769241,310.3585808,310.3484855,310.3699784,310.3264503
2277,310.3417852,310.3418664,310.3617676,310.3158306,310.3632491,310.3291072,310.3593432,310.220763,310.3795173,310.359227,310.4054488,310.3800131,310.3617175,310.3515999,310.3731423,310.3296386
2278,310.3449413,310.3450109,310.3649232,310.3189511,310.3663713,310.3322702,310.3624641,310.2238647,310.3826483,310.3623549,310.4086346,310.3831022,310.3648541,310.3547142,310.3763063,310.332827
2279,310.3480973,310.3481555,310.3680788,310.3220717,310.3694935,310.3354333,310.365585,310.2269665,310.3857793,310.3654829,310.4118204,310.3861913,310.3679908,310.3578285,310.3794703,310.3360154
2280,310.3512534,310.3513,310.3712344,310.3251923,310.3726157,310.3385964,310.368706,310.2300683,310.3889103,310.3686109,310.4150062,310.3892804,310.3711275,310.3609429,310.3826342,310.3392038
2281,310.3544095,310.3544445,310.3743899,310.3283129,310.3757379,310.3417595,310.3718269,310.2331701,310.3920413,310.3717388,310.418192,310.3923694,310.3742641,310.3640572,310.3857982,310.3423921
2282,310.3575656,310.357589,310.3775455,310.3314334,310.3788602,310.3449225,310.3749478,310.2362719,310.3951723,310.3748668,310.4213778,310.3954585,310.3774008,310.3671715,310.3889621,310.3455805
2283,310.3607217,310.3607336,310.3807011,310.334554,310.3819824,310.3480856,310.3780687,310.2393736,310.3983033,310.3779948,310.4245636,310.3985476,310.3805375,310.3702859,310.3921261,310.3487689
2284,310.3638778,310.3638781,310.3838567,310.3376746,310.3851046,310.3512487,310.3811896,310.2424754,310.4014343,310.3811227,310.4277494,310.4016366,310.3836741,310.3734002,310.3952901,310.3519573
2285,310.3670339,310.3670226,310.3870123,310.3407951,310.3882268,310.3544118,310.3843105,310.2455772,310.4045652,310.3842507,310.4309351,310.4047257,310.3868108,310.3765145,310.398454,310.3551456
2286,310.37019,310.3701671,310.3901679,310.3439157,310.391349,310.3575748,310.3874315,310.248679,310.4076962,310.3873787,310.4341209,310.4078148,310.3899475,310.3796289,310.401618,310.358334
2287,310.3733461,310.3733116,310.3933235,310.3470363,310.3944712,310.3607379,310.3905524,310.2517808,310.4108272,310.3905066,310.4373067,310.4109038,310.3930841,310.3827432,310.4047819,310.3615224
2288,310.3765021,310.3764562,310.3964791,310.3501569,310.3975934,310.363901,310.3936733,310.2548825,310.4139582,310.3936346,310.4404925,310.4139929,310.3962208,310.3858575,310.4079459,310.3647107
2289,310.3796582,310.3796007,310.3996347,310.3532774,310.4007156,310.3670641,310.3967942,310.2579843,310.4170892,310.3967625,310.4436783,310.417082,310.3993575,310.3889719,310.4111099,310.3678991
2290,310.3828143,310.3827452,310.4027903,310.356398,310.4038378,310.3702271,310.3999151,310.2610861,310.4202202,310.3998905,310.4468641,310.420171,310.4024941,310.3920862,310.4142738,310.3710875
2291,310.3859704,310.3858897,310.4059459,310.3595186,310.40696,310.3733902,310.403036,310.2641879,310.4233512,310.4030185,310.4500499,310.4232601,310.4056308,310.3952005,310.4174378,310.3742759
2292,310.3891265,310.3890343,310.4091014,310.3626392,310.4100823,310.3765533,310.4061569,310.2672897,310.4264821,310.4061464,310.4532357,310.4263492,310.4087675,310.3983149,310.4206017,310.3774642
2293,310.3922826,310.3921788,310.412257,310.3657597,310.4132045,310.3797164,310.4092779,310.2703914,310.4296131,310.4092744,310.4564215,310.4294382,310.4119041,310.4014292,310.4237657,310.3806526
2294,310.3954387,310.3953233,310.4154126,310.3688803,310.4163267,310.3828794,310.4123988,310.2734932,310.4327441,310.4124024,310.4596072,310.4325273,310.4150408,310.4045435,310.4269297,310.383841
2295,310.3985948,310.3984678,310.4185682,310.3720009,310.4194489,310.3860425,310.4155197,310.276595,310.4358751,310.4155303,310.462793,310.4356164,310.4181775,310.4076579,310.4300936,310.3870294
2296,310.4017509,310.4016124,310.4217238,310.3751215,310.4225711,310.3892056,310.4186406,310.2796968,310.4390061,310.4186583,310.4659788,310.4387054,310.4213141,310.4107722,310.4332576,310.3902177
2297,310.4049069,310.4047569,310.4248794,310.378242,310.4256933,310.3923687,310.4217615,310.2827986,310.4421371,310.4217863,310.4691646,310.4417945,310.4244508,310.4138866,310.4364215,310.3934061
2298,310.408063,310.4079014,310.428035,310.3813626,310.4288155,310.3955318,310.4248824,310.2859003,310.4452681,310.4249142,310.4723504,310.4448836,310.4275875,310.4170009,310.4395855,310.3965945
2299,310.4112191,310.4110459,310.4311906,310.3844832,310.4319377,310.3986948,310.4280033,310.2890021,310.448399,310.4280422,310.4755362,310.4479727,310.4307241,310.4201152,310.4427494,310.3997828
2300,310.4143752,310.4141904,310.4343462,310.3876037,310.4350599,310.4018579,310.4311243,310.2921039,310.45153,310.4311702,310.478722,310.4510617,310.4338608,310.4232296,310.4459134,310.4029712
2301,310.4175313,310.417335,310.4375018,310.3907243,310.4381821,310.405021,310.4342452,310.2952057,310.454661,310.4342981,310.4819078,310.4541508,310.4369975,310.4263439,310.4490774,310.4061596
2302,310.4206874,310.4204795,310.4406574,310.3938449,310.4413043,310.4081841,310.4373661,310.2983075,310.457792,310.4374261,310.4850936,310.4572399,310.4401341,310.4294582,310.4522413,310.409348
2303,310.4238435,310.423624,310.4438129,310.3969655,310.4444266,310.4113471,310.440487,310.3014093,310.460923,310.4405541,310.4882793,310.4603289,310.4432708,310.4325726,310.4554053,310.4125363
2304,310.4269996,310.4267685,310.4469685,310.400086,310.4475488,310.4145102,310.4436079,310.304511,310.464054,310.443682,310.4914651,310.463418,310.4464075,310.4356869,310.4585692,310.4157247
2305,310.4301557,310.4299131,310.4501241,310.4032066,310.450671,310.4176733,310.4467288,310.3076128,310.467185,310.44681,310.4946509,310.4665071,310.4495441,310.4388012,310.4617332,310.4189131
2306,310.4333118,310.4330576,310.4532797,310.4063272,310.4537932,310.4208364,310.4498497,310.3107146,310.470316,310.449938,310.4978367,310.4695961,310.4526808,310.4419156,310.4648972,310.4221015
2307,310.4364678,310.4362021,310.4564353,310.4094478,310.4569154,310.4239994,310.4529707,310.3138164,310.4734469,310.4530659,310.5010225,310.4726852,310.4558175,310.4450299,310.4680611,310.4252898
2308,310.4396239,310.4393466,310.4595909,310.4125683,310.4600376,310.4271625,310.4560916,310.3169182,310.4765779,310.4561939,310.5042083,310.4757743,310.4589541,310.4481442,310.4712251,310.4284782
2309,310.44278,310.4424912,310.4627465,310.4156889,310.4631598,310.4303256,310.4592125,310.3200199,310.4797089,310.4593219,310.5073941,310.4788633,310.4620908,310.4512586,310.474389,310.4316666
2310,310.4459361,310.4456357,310.4659021,310.4188095,310.466282,310.4334887,310.4623334,310.3231217,310.4828399,310.4624498,310.5105799,310.4819524,310.4652275,310.4543729,310.477553,310.4348549
2311,310.4490922,310.4487802,310.4690577,310.42193,310.4694042,310.4366517,310.4654543,310.3262235,310.4859709,310.4655778,310.5137657,310.4850415,310.4683641,310.4574872,310.480717,310.4380433
2312,310.4522483,310.4519247,310.4722133,310.4250506,310.4725264,310.4398148,310.4685752,310.3293253,310.4891019,310.4687058,310.5169514,310.4881305,310.4715008,310.4606016,310.4838809,310.4412317
2313,310.4554044,310.4550692,310.4753689,310.4281712,310.4756487,310.4429779,310.4716961,310.3324271,310.4922329,310.4718337,310.5201372,310.4912196,310.4746375,310.4637159,310.4870449,310.4444201
2314,310.4585605,310.4582138,310.4785244,310.4312918,310.4787709,310.446141,310.4748171,310.3355288,310.4953638,310.4749617,310.523323,310.4943087,310.4777741,310.4668302,310.4902088,310.4476084
2315,310.4617166,310.4613583,310.48168,310.4344123,310.4818931,310.449304,310.477938,310.3386306,310.4984948,310.4780897,310.5265088,310.4973977,310.4809108,310.4699446,310.4933728,310.4507968
2316,310.4648726,310.4645028,310.4848356,310.4375329,310.4850153,310.4524671,310.4810589,310.3417324,310.5016258,310.4812176,310.5296946,310.5004868,310.4840475,310.4730589,310.4965368,310.4539852
2317,310.4680287,310.4676473,310.4879912,310.4406535,310.4881375,310.4556302,310.4841798,310.3448342,310.5047568,310.4843456,310.5328804,310.5035759,310.4871841,310.4761732,310.4997007,310.4571736
2318,310.4711848,310.4707919,310.4911468,310.4437741,310.4912597,310.4587933,310.4873007,310.347936,310.5078878,310.4874736,310.5360662,310.5066649,310.4903208,310.4792876,310.5028647,310.4603619
2319,310.4743409,310.4739364,310.4943024,310.4468946,310.4943819,310.4619563,310.4904216,310.3510377,310.5110188,310.4906015,310.539252,310.509754,310.4934575,310.4824019,310.5060286,310.4635503
2320,310.477497,310.4770809,310.497458,310.4500152,310.4975041,310.4651194,310.4935425,310.3541395,310.5141498,310.4937295,310.5424378,310.5128431,310.4965941,310.4855162,310.5091926,310.4667387
2321,310.4806531,310.4802254,310.5006136,310.4531358,310.5006263,310.4682825,310.4966635,310.3572413,310.5172807,310.4968575,310.5456235,310.5159322,310.4997308,310.4886306,310.5123565,310.469927
2322,310.4838092,310.48337,310.5037692,310.4562564,310.5037485,310.4714456,310.4997844,310.3603431,310.5204117,310.4999854,310.5488093,310.5190212,310.5028675,310.4917449,310.5155205,310.4731154
2323,310.4869653,310.4865145,310.5069248,310.4593769,310.5068707,310.4746086,310.5029053,310.3634449,310.5235427,310.5031134,310.5519951,310.5221103,310.5060041,310.4948592,310.5186845,310.4763038
2324,310.4901214,310.489659,310.5100804,310.4624975,310.509993,310.4777717,310.5060262,310.3665466,310.5266737,310.5062413,310.5551809,310.5251994,310.5091408,310.4979736,310.5218484,310.4794922
2325,310.4932774,310.4928035,310.5132359,310.4656181,310.5131152,310.4809348,310.5091471,310.3696484,310.5298047,310.5093693,310.5583667,310.5282884,310.5122775,310.5010879,310.5250124,310.4826805
2326,310.4964335,310.4959481,310.5163915,310.4687386,310.5162374,310.4840979,310.512268,310.3727502,310.5329357,310.5124973,310.5615525,310.5313775,310.5154141,310.5042022,310.5281763,310.4858689
2327,310.4995896,310.4990926,310.5195471,310.4718592,310.5193596,310.487261,310.5153889,310.375852,310.5360667,310.5156252,310.5647383,310.5344666,310.5185508,310.5073166,310.5313403,310.4890573
2328,310.5027457,310.5022371,310.5227027,310.4749798,310.5224818,310.490424,310.5185099,310.3789538,310.5391976,310.5187532,310.5679241,310.5375556,310.5216875,310.5104309,310.5345043,310.4922457
2329,310.5059018,310.5053816,310.5258583,310.4781004,310.525604,310.4935871,310.5216308,310.3820555,310.5423286,310.5218812,310.5711099,310.5406447,310.5248241,310.5135452,310.5376682,310.495434
2330,310.5090579,310.5085261,310.5290139,310.4812209,310.5287262,310.4967502,310.5247517,310.3851573,310.5454596,310.5250091,310.5742956,310.5437338,310.5279608,310.5166596,310.5408322,310.4986224
2331,310.512214,310.5116707,310.5321695,310.4843415,310.5318484,310.4999133,310.5278726,310.3882591,310.5485906,310.5281371,310.5774814,310.5468228,310.5310975,310.5197739,310.5439961,310.5018108
2332,310.5153701,310.5148152,310.5353251,310.4874621,310.5349706,310.5030763,310.5309935,310.3913609,310.5517216,310.5312651,310.5806672,310.5499119,310.5342341,310.5228882,310.5471601,310.5049992
2333,310.5185262,310.5179597,310.5384807,310.4905827,310.5380928,310.5062394,310.5341144,310.3944627,310.5548526,310.534393,310.583853,310.553001,310.5373708,310.5260026,310.5503241,310.5081875
2334,310.5216823,310.5211042,310.5416363,310.4937032,310.5412151,310.5094025,310.5372354,310.3975644,310.5579836,310.537521,310.5870388,310.55609,310.5405075,310.5291169,310.553488,310.5113759
2335,310.5248383,310.5242488,310.5447919,310.4968238,310.5443373,310.5125656,310.5403563,310.4006662,310.5611146,310.540649,310.5902246,310.5591791,310.5436441,310.5322312,310.556652,310.5145643
2336,310.5279944,310.5273933,310.5479474,310.4999444,310.5474595,310.5157286,310.5434772,310.403768,310.5642455,310.5437769,310.5934104,310.5622682,310.5467808,310.5353456,310.5598159,310.5177526
2337,310.5311505,310.5305378,310.551103,310.503065,310.5505817,310.5188917,310.5465981,310.4068698,310.5673765,310.5469049,310.5965962,310.5653572,310.5499175,310.5384599,310.5629799,310.520941
2338,310.5343066,310.5336823,310.5542586,310.5061855,310.5537039,310.5220548,310.549719,310.4099716,310.5705075,310.5500329,310.599782,310.5684463,310.5530541,310.5415742,310.5661439,310.5241294
2339,310.5374627,310.5368269,310.5574142,310.5093061,310.5568261,310.5252179,310.5528399,310.4130733,310.5736385,310.5531608,310.6029677,310.5715354,310.5561908,310.5446886,310.5693078,310.5273178
2340,310.5406188,310.5399714,310.5605698,310.5124267,310.5599483,310.5283809,310.5559608,310.4161751,310.5767695,310.5562888,310.6061535,310.5746245,310.5593275,310.5478029,310.5724718,310.5305061
2341,310.5437749,310.5431159,310.5637254,310.5155472,310.5630705,310.531544,310.5590818,310.4192769,310.5799005,310.5594168,310.6093393,310.5777135,310.5624641,310.5509172,310.5756357,310.5336945
2342,310.546931,310.5462604,310.566881,310.5186678,310.5661927,310.5347071,310.5622027,310.4223787,310.5830315,310.5625447,310.6125251,310.5808026,310.5656008,310.5540316,310.5787997,310.5368829
2343,310.5500871,310.5494049,310.5700366,310.5217884,310.5693149,310.5378702,310.5653236,310.4254805,310.5861624,310.5656727,310.6157109,310.5838917,310.5687375,310.5571459,310.5819637,310.5400713
2344,310.5532431,310.5525495,310.5731922,310.524909,310.5724371,310.5410332,310.5684445,310.4285822,310.5892934,310.5688007,310.6188967,310.5869807,310.5718741,310.5602603,310.5851276,310.5432596
2345,310.5563992,310.555694,310.5763478,310.5280295,310.5755594,310.5441963,310.5715654,310.431684,310.5924244,310.5719286,310.6220825,310.5900698,310.5750108,310.5633746,310.5882916,310.546448
2346,310.5595553,310.5588385,310.5795034,310.5311501,310.5786816,310.5473594,310.5746863,310.4347858,310.5955554,310.5750566,310.6252683,310.5931589,310.5781475,310.5664889,310.5914555,310.5496364
2347,310.5627114,310.561983,310.5826589,310.5342707,310.5818038,310.5505225,310.5778072,310.4378876,310.5986864,310.5781846,310.628454,310.5962479,310.5812841,310.5696033,310.5946195,310.5528247
2348,310.5658675,310.5651276,310.5858145,310.5373913,310.584926,310.5536855,310.5809282,310.4409894,310.6018174,310.5813125,310.6316398,310.599337,310.5844208,310.5727176,310.5977834,310.5560131
2349,310.5690236,310.5682721,310.5889701,310.5405118,310.5880482,310.5568486,310.5840491,310.4440911,310.6049484,310.5844405,310.6348256,310.6024261,310.5875575,310.5758319,310.6009474,310.5592015
2350,310.5721797,310.5714166,310.5921257,310.5436324,310.5911704,310.5600117,310.58717,310.4471929,310.6080793,310.5875685,310.6380114,310.6055151,310.5906941,310.5789463,310.6041114,310.5623899
2351,310.5753358,310.5745611,310.5952813,310.546753,310.5942926,310.5631748,310.5902909,310.4502947,310.6112103,310.5906964,310.6411972,310.6086042,310.5938308,310.5820606,310.6072753,310.5655782
2352,310.5784919,310.5777057,310.5984369,310.5498735,310.5974148,310.5663378,310.5934118,310.4533965,310.6143413,310.5938244,310.644383,310.6116933,310.5969675,310.5851749,310.6104393,310.5687666
2353,310.5816479,310.5808502,310.6015925,310.5529941,310.600537,310.5695009,310.5965327,310.4564983,310.6174723,310.5969524,310.6475688,310.6147823,310.6001041,310.5882893,310.6136032,310.571955
2354,310.584804,310.5839947,310.6047481,310.5561147,310.6036592,310.572664,310.5996536,310.4596,310.6206033,310.6000803,310.6507546,310.6178714,310.6032408,310.5914036,310.6167672,310.5751434
2355,310.5879601,310.5871392,310.6079037,310.5592353,310.6067815,310.5758271,310.6027746,310.4627018,310.6237343,310.6032083,310.6539404,310.6209605,310.6063775,310.5945179,310.6199312,310.5783317
2356,310.5911162,310.5902837,310.6110593,310.5623558,310.6099037,310.5789902,310.6058955,310.4658036,310.6268653,310.6063363,310.6571261,310.6240495,310.6095141,310.5976323,310.6230951,310.5815201
2357,310.5942723,310.5934283,310.6142149,310.5654764,310.6130259,310.5821532,310.6090164,310.4689054,310.6299963,310.6094642,310.6603119,310.6271386,310.6126508,310.6007466,310.6262591,310.5847085
2358,310.5974284,310.5965728,310.6173704,310.568597,310.6161481,310.5853163,310.6121373,310.4720072,310.6331272,310.6125922,310.6634977,310.6302277,310.6157875,310.6038609,310.629423,310.5878968
2359,310.6005845,310.5997173,310.620526,310.5717176,310.6192703,310.5884794,310.6152582,310.475109,310.6362582,310.6157202,310.6666835,310.6333168,310.6189241,310.6069753,310.632587,310.5910852
2360,310.6037406,310.6028618,310.6236816,310.5748381,310.6223925,310.5916425,310.6183791,310.4782107,310.6393892,310.6188481,310.6698693,310.6364058,310.6220608,310.6100896,310.635751,310.5942736
2361,310.6068967,310.6060064,310.6268372,310.5779587,310.6255147,310.5948055,310.6215,310.4813125,310.6425202,310.6219761,310.6730551,310.6394949,310.6251975,310.6132039,310.6389149,310.597462
2362,310.6097763,310.6088755,310.6297221,310.5807992,310.6283684,310.5976867,310.6243534,310.4841243,310.6453892,310.624836,310.6759842,310.6423225,310.6280667,310.6160472,310.6418114,310.6003674
2363,310.6122412,310.6113316,310.632201,310.5832197,310.6308192,310.6001448,310.6268053,310.4865011,310.6478651,310.6272939,310.6785282,310.644758,310.6305347,310.6184839,310.6443067,310.6028484
2364,310.6147061,310.6137876,310.6346798,310.5856402,310.63327,310.602603,310.6292572,310.4888778,310.650341,310.6297518,310.6810723,310.6471935,310.6330027,310.6209206,310.646802,310.6053294
2365,310.6171709,310.6162437,310.6371587,310.5880607,310.6357209,310.6050612,310.6317091,310.4912546,310.6528169,310.6322097,310.6836163,310.649629,310.6354707,310.6233573,310.6492973,310.6078104
2366,310.6196358,310.6186998,310.6396376,310.5904812,310.6381717,310.6075194,310.6341611,310.4936314,310.6552929,310.6346676,310.6861603,310.6520645,310.6379387,310.625794,310.6517925,310.6102914
2367,310.6221007,310.6211558,310.6421164,310.5929017,310.6406225,310.6099776,310.636613,310.4960081,310.6577688,310.6371255,310.6887044,310.6545,310.6404067,310.6282307,310.6542878,310.6127724
