T(s),S1-1F-D,S1-1F-S,S1-2F-D,S1-2F-S,S1-3F-D,S1-3F-S,S1-4F-D,S1-4F-S,S1-5F-D,S1-5F-S,S1-6F-D,S1-6F-S,S1-7F-D,S1-7F-S,S1-8F-D,S1-8F-S
0,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15
1,293.26,293.22,293.25,293.24,293.27,293.26,293.27,293.23,293.27,293.23,293.21,293.22,293.27,293.21,293.27,293.23
2,293.37,293.28,293.36,293.32,293.40,293.38,293.39,293.31,293.38,293.31,293.28,293.29,293.38,293.26,293.39,293.31
3,293.47,293.35,293.46,293.40,293.52,293.49,293.51,293.39,293.49,293.39,293.34,293.36,293.49,293.32,293.51,293.38
4,293.58,293.42,293.56,293.49,293.64,293.60,293.62,293.47,293.61,293.46,293.40,293.43,293.61,293.38,293.63,293.46
5,293.69,293.49,293.66,293.57,293.76,293.71,293.74,293.55,293.72,293.54,293.47,293.51,293.72,293.43,293.75,293.54
6,293.80,293.55,293.76,293.66,293.89,293.83,293.86,293.63,293.84,293.62,293.53,293.58,293.83,293.49,293.87,293.62
7,293.90,293.62,293.87,293.74,294.01,293.94,293.98,293.71,293.95,293.70,293.59,293.65,293.95,293.55,293.99,293.70
8,293.99,293.68,293.95,293.82,294.10,294.03,294.07,293.79,294.04,293.77,293.66,293.71,294.04,293.60,294.08,293.76
9,294.07,293.74,294.04,293.89,294.19,294.12,294.16,293.86,294.13,293.84,293.72,293.78,294.12,293.65,294.17,293.83
10,294.16,293.80,294.12,293.96,294.28,294.21,294.25,293.93,294.22,293.91,293.78,293.84,294.21,293.71,294.25,293.89
11,294.24,293.86,294.20,294.04,294.37,294.30,294.33,294.00,294.30,293.98,293.85,293.91,294.29,293.76,294.34,293.96
12,294.32,293.91,294.29,294.11,294.46,294.39,294.42,294.07,294.39,294.05,293.91,293.97,294.38,293.81,294.42,294.02
13,294.41,293.97,294.37,294.18,294.54,294.48,294.51,294.14,294.47,294.12,293.97,294.03,294.46,293.86,294.51,294.09
14,294.49,294.03,294.45,294.26,294.63,294.58,294.60,294.21,294.56,294.19,294.04,294.10,294.55,293.92,294.59,294.15
15,294.57,294.09,294.53,294.33,294.72,294.66,294.68,294.28,294.64,294.26,294.10,294.16,294.63,293.97,294.67,294.22
16,294.65,294.15,294.61,294.40,294.80,294.74,294.76,294.34,294.72,294.33,294.16,294.22,294.71,294.02,294.75,294.28
17,294.72,294.20,294.69,294.47,294.87,294.82,294.84,294.41,294.80,294.39,294.22,294.28,294.78,294.07,294.82,294.34
18,294.79,294.26,294.76,294.53,294.95,294.90,294.91,294.47,294.87,294.46,294.28,294.34,294.86,294.12,294.90,294.40
19,294.86,294.31,294.83,294.60,295.02,294.98,294.99,294.54,294.94,294.52,294.34,294.40,294.93,294.18,294.97,294.45
20,294.93,294.37,294.90,294.67,295.10,295.06,295.06,294.60,295.01,294.58,294.40,294.46,295.00,294.23,295.04,294.51
21,295.00,294.42,294.97,294.73,295.17,295.13,295.13,294.66,295.08,294.65,294.46,294.52,295.07,294.28,295.11,294.57
22,295.07,294.47,295.04,294.79,295.23,295.20,295.20,294.72,295.15,294.71,294.52,294.58,295.14,294.33,295.17,294.63
23,295.14,294.53,295.11,294.86,295.30,295.27,295.27,294.78,295.22,294.77,294.58,294.63,295.20,294.37,295.24,294.68
24,295.20,294.58,295.17,294.92,295.36,295.34,295.33,294.84,295.28,294.83,294.63,294.69,295.27,294.42,295.30,294.74
25,295.26,294.63,295.24,294.98,295.43,295.41,295.39,294.90,295.35,294.89,294.69,294.75,295.33,294.47,295.36,294.79
26,295.32,294.68,295.30,295.04,295.49,295.47,295.46,294.96,295.41,294.95,294.75,294.80,295.39,294.52,295.42,294.84
27,295.38,294.73,295.36,295.10,295.55,295.54,295.52,295.02,295.47,295.01,294.81,294.86,295.45,294.57,295.48,294.90
28,295.44,294.78,295.42,295.16,295.60,295.60,295.57,295.08,295.52,295.06,294.86,294.91,295.51,294.62,295.53,294.95
29,295.49,294.83,295.48,295.21,295.65,295.66,295.63,295.13,295.58,295.12,294.91,294.96,295.56,294.66,295.58,295.00
30,295.53,294.87,295.51,295.25,295.69,295.69,295.66,295.17,295.61,295.16,294.96,295.00,295.60,294.70,295.62,295.04
31,295.57,294.91,295.55,295.29,295.73,295.73,295.70,295.21,295.65,295.20,295.00,295.04,295.63,294.74,295.66,295.07
32,295.61,294.95,295.59,295.33,295.76,295.77,295.73,295.25,295.69,295.24,295.04,295.08,295.67,294.78,295.69,295.11
33,295.64,294.99,295.63,295.37,295.80,295.81,295.77,295.29,295.73,295.28,295.08,295.12,295.71,294.82,295.73,295.15
34,295.68,295.03,295.67,295.41,295.84,295.84,295.81,295.33,295.76,295.32,295.12,295.16,295.74,294.86,295.77,295.19
35,295.72,295.07,295.70,295.45,295.87,295.88,295.84,295.37,295.80,295.36,295.16,295.20,295.78,294.90,295.80,295.23
36,295.76,295.11,295.74,295.49,295.91,295.92,295.88,295.41,295.84,295.40,295.20,295.24,295.82,294.94,295.84,295.27
37,295.80,295.14,295.78,295.53,295.94,295.96,295.92,295.45,295.88,295.44,295.24,295.28,295.86,294.98,295.88,295.31
38,295.83,295.18,295.82,295.57,295.98,295.99,295.95,295.49,295.91,295.48,295.28,295.32,295.89,295.01,295.92,295.35
39,295.87,295.22,295.86,295.61,296.02,296.03,295.99,295.53,295.95,295.52,295.33,295.36,295.93,295.05,295.95,295.39
40,295.91,295.26,295.89,295.65,296.05,296.07,296.03,295.57,295.99,295.56,295.37,295.40,295.97,295.09,295.99,295.43
41,295.95,295.30,295.93,295.69,296.09,296.11,296.06,295.61,296.02,295.60,295.41,295.44,296.01,295.13,296.03,295.47
42,295.99,295.34,295.97,295.73,296.12,296.14,296.10,295.65,296.06,295.65,295.45,295.48,296.04,295.17,296.06,295.51
43,296.02,295.38,296.01,295.77,296.16,296.18,296.14,295.69,296.10,295.69,295.49,295.52,296.08,295.21,296.10,295.54
44,296.06,295.42,296.05,295.81,296.20,296.22,296.17,295.73,296.14,295.73,295.53,295.56,296.12,295.25,296.14,295.58
45,296.10,295.46,296.08,295.85,296.23,296.26,296.21,295.78,296.17,295.77,295.57,295.60,296.15,295.29,296.17,295.62
46,296.14,295.50,296.12,295.89,296.27,296.29,296.25,295.82,296.21,295.81,295.61,295.64,296.19,295.33,296.21,295.66
47,296.17,295.54,296.16,295.93,296.31,296.33,296.28,295.86,296.25,295.85,295.65,295.68,296.23,295.36,296.25,295.70
48,296.21,295.58,296.20,295.97,296.34,296.37,296.32,295.90,296.28,295.89,295.69,295.72,296.27,295.40,296.28,295.74
49,296.25,295.62,296.24,296.01,296.38,296.41,296.36,295.94,296.32,295.93,295.74,295.76,296.30,295.44,296.32,295.78
50,296.29,295.66,296.27,296.05,296.41,296.44,296.39,295.98,296.36,295.97,295.78,295.80,296.34,295.48,296.36,295.82
51,296.33,295.70,296.31,296.09,296.45,296.48,296.43,296.02,296.40,296.01,295.82,295.84,296.38,295.52,296.39,295.86
52,296.36,295.74,296.35,296.13,296.49,296.52,296.46,296.06,296.43,296.05,295.86,295.88,296.42,295.56,296.43,295.90
53,296.40,295.78,296.39,296.17,296.52,296.56,296.50,296.10,296.47,296.09,295.90,295.92,296.45,295.60,296.47,295.94
54,296.44,295.82,296.43,296.21,296.56,296.59,296.54,296.14,296.51,296.13,295.94,295.96,296.49,295.64,296.51,295.97
55,296.48,295.85,296.46,296.25,296.59,296.63,296.57,296.18,296.55,296.17,295.98,296.00,296.53,295.68,296.54,296.01
56,296.52,295.89,296.50,296.29,296.63,296.67,296.61,296.22,296.58,296.21,296.02,296.04,296.57,295.71,296.58,296.05
57,296.55,295.93,296.54,296.33,296.67,296.71,296.65,296.26,296.62,296.25,296.06,296.08,296.60,295.75,296.62,296.09
58,296.59,295.97,296.57,296.36,296.70,296.74,296.68,296.30,296.65,296.29,296.10,296.12,296.64,295.79,296.65,296.13
59,296.61,296.00,296.60,296.39,296.72,296.76,296.70,296.32,296.68,296.32,296.13,296.15,296.66,295.82,296.67,296.15
60,296.64,296.02,296.62,296.42,296.75,296.79,296.73,296.35,296.70,296.34,296.15,296.17,296.69,295.84,296.70,296.18
61,296.67,296.05,296.65,296.44,296.77,296.81,296.76,296.38,296.73,296.37,296.18,296.20,296.71,295.87,296.73,296.21
62,296.69,296.08,296.67,296.47,296.80,296.83,296.78,296.40,296.76,296.40,296.21,296.23,296.74,295.90,296.75,296.24
63,296.72,296.11,296.70,296.50,296.82,296.86,296.81,296.43,296.78,296.42,296.24,296.26,296.77,295.93,296.78,296.26
64,296.74,296.14,296.72,296.52,296.85,296.88,296.83,296.46,296.81,296.45,296.27,296.28,296.79,295.96,296.80,296.29
65,296.77,296.16,296.75,296.55,296.88,296.91,296.86,296.49,296.83,296.48,296.29,296.31,296.82,295.99,296.83,296.32
66,296.80,296.19,296.77,296.58,296.90,296.93,296.88,296.51,296.86,296.50,296.32,296.34,296.84,296.01,296.86,296.35
67,296.82,296.22,296.80,296.60,296.93,296.96,296.91,296.54,296.88,296.53,296.35,296.37,296.87,296.04,296.88,296.37
68,296.85,296.25,296.82,296.63,296.95,296.98,296.93,296.57,296.91,296.56,296.38,296.40,296.90,296.07,296.91,296.40
69,296.88,296.28,296.85,296.66,296.98,297.00,296.96,296.60,296.94,296.59,296.40,296.42,296.92,296.10,296.93,296.43
70,296.90,296.30,296.87,296.68,297.00,297.03,296.99,296.62,296.96,296.61,296.43,296.45,296.95,296.13,296.96,296.46
71,296.93,296.33,296.90,296.71,297.03,297.05,297.01,296.65,296.99,296.64,296.46,296.48,296.97,296.16,296.98,296.49
72,296.95,296.36,296.92,296.73,297.05,297.08,297.04,296.68,297.01,296.67,296.49,296.51,297.00,296.18,297.01,296.51
73,296.98,296.39,296.95,296.76,297.08,297.10,297.06,296.70,297.04,296.69,296.51,296.53,297.03,296.21,297.04,296.54
74,297.01,296.42,296.97,296.79,297.10,297.12,297.09,296.73,297.07,296.72,296.54,296.56,297.05,296.24,297.06,296.57
75,297.03,296.44,297.00,296.81,297.13,297.15,297.11,296.76,297.09,296.75,296.57,296.59,297.08,296.27,297.09,296.60
76,297.06,296.47,297.02,296.84,297.15,297.17,297.14,296.79,297.12,296.77,296.60,296.62,297.10,296.30,297.11,296.62
77,297.09,296.50,297.05,296.87,297.18,297.20,297.16,296.81,297.14,296.80,296.62,296.64,297.13,296.33,297.14,296.65
78,297.11,296.53,297.07,296.89,297.20,297.22,297.19,296.84,297.17,296.83,296.65,296.67,297.15,296.35,297.17,296.68
79,297.14,296.56,297.10,296.92,297.23,297.24,297.21,296.87,297.19,296.85,296.68,296.70,297.18,296.38,297.19,296.71
80,297.16,296.59,297.12,296.95,297.26,297.27,297.24,296.89,297.22,296.88,296.71,296.73,297.21,296.41,297.22,296.73
81,297.19,296.61,297.15,296.97,297.28,297.29,297.27,296.92,297.25,296.91,296.74,296.75,297.23,296.44,297.24,296.76
82,297.22,296.64,297.17,297.00,297.31,297.32,297.29,296.95,297.27,296.93,296.76,296.78,297.26,296.47,297.27,296.79
83,297.24,296.67,297.20,297.03,297.33,297.34,297.32,296.98,297.30,296.96,296.79,296.81,297.28,296.50,297.30,296.82
84,297.27,296.70,297.22,297.05,297.36,297.37,297.34,297.00,297.32,296.99,296.82,296.84,297.31,296.52,297.32,296.84
85,297.30,296.73,297.25,297.08,297.38,297.39,297.37,297.03,297.35,297.02,296.85,296.87,297.34,296.55,297.35,296.87
86,297.32,296.75,297.27,297.11,297.41,297.41,297.39,297.06,297.37,297.04,296.87,296.89,297.36,296.58,297.37,296.90
87,297.35,296.78,297.29,297.13,297.43,297.44,297.42,297.08,297.40,297.07,296.90,296.92,297.39,296.61,297.40,296.93
88,297.38,296.81,297.32,297.16,297.46,297.46,297.44,297.11,297.43,297.10,296.93,296.95,297.41,296.64,297.42,296.95
89,297.40,296.84,297.34,297.18,297.48,297.49,297.47,297.14,297.45,297.12,296.96,296.98,297.44,296.67,297.45,296.98
90,297.43,296.87,297.37,297.21,297.51,297.51,297.50,297.17,297.48,297.15,296.98,297.00,297.47,296.69,297.48,297.01
91,297.45,296.89,297.39,297.24,297.53,297.53,297.52,297.19,297.50,297.18,297.01,297.03,297.49,296.72,297.50,297.04
92,297.48,296.92,297.42,297.26,297.56,297.56,297.55,297.22,297.53,297.20,297.04,297.06,297.52,296.75,297.53,297.06
93,297.51,296.95,297.44,297.29,297.58,297.58,297.57,297.25,297.56,297.23,297.07,297.09,297.54,296.78,297.55,297.09
94,297.53,296.98,297.47,297.32,297.61,297.61,297.60,297.28,297.58,297.26,297.09,297.11,297.57,296.81,297.58,297.12
95,297.56,297.01,297.49,297.34,297.63,297.63,297.62,297.30,297.61,297.28,297.12,297.14,297.60,296.84,297.61,297.15
96,297.59,297.03,297.52,297.37,297.66,297.66,297.65,297.33,297.63,297.31,297.15,297.17,297.62,296.86,297.63,297.18
97,297.61,297.06,297.54,297.40,297.69,297.68,297.67,297.36,297.66,297.34,297.18,297.20,297.65,296.89,297.66,297.20
98,297.64,297.09,297.57,297.42,297.71,297.70,297.70,297.38,297.68,297.37,297.21,297.22,297.67,296.92,297.68,297.23
99,297.66,297.12,297.59,297.45,297.74,297.73,297.72,297.41,297.71,297.39,297.23,297.25,297.70,296.95,297.71,297.26
100,297.69,297.15,297.62,297.48,297.76,297.75,297.75,297.44,297.74,297.42,297.26,297.28,297.73,296.98,297.74,297.29
101,297.72,297.17,297.64,297.50,297.79,297.78,297.78,297.47,297.76,297.45,297.29,297.31,297.75,297.01,297.76,297.31
102,297.74,297.20,297.67,297.53,297.81,297.80,297.80,297.49,297.79,297.47,297.32,297.33,297.78,297.03,297.79,297.34
103,297.77,297.23,297.69,297.56,297.84,297.82,297.83,297.52,297.81,297.50,297.34,297.36,297.80,297.06,297.81,297.37
104,297.80,297.26,297.72,297.58,297.86,297.85,297.85,297.55,297.84,297.53,297.37,297.39,297.83,297.09,297.84,297.40
105,297.82,297.29,297.74,297.61,297.89,297.87,297.88,297.57,297.86,297.55,297.40,297.42,297.86,297.12,297.86,297.42
106,297.85,297.31,297.77,297.63,297.91,297.90,297.90,297.60,297.89,297.58,297.43,297.45,297.88,297.15,297.89,297.45
107,297.87,297.34,297.79,297.66,297.94,297.92,297.93,297.63,297.92,297.61,297.45,297.47,297.91,297.18,297.92,297.48
108,297.90,297.37,297.82,297.69,297.96,297.95,297.95,297.66,297.94,297.63,297.48,297.50,297.93,297.20,297.94,297.51
109,297.93,297.40,297.84,297.71,297.99,297.97,297.98,297.68,297.97,297.66,297.51,297.53,297.96,297.23,297.97,297.53
110,297.95,297.43,297.87,297.74,298.01,297.99,298.01,297.71,297.99,297.69,297.54,297.56,297.99,297.26,297.99,297.56
111,297.98,297.45,297.89,297.77,298.04,298.02,298.03,297.74,298.02,297.72,297.56,297.58,298.01,297.29,298.02,297.59
112,298.01,297.48,297.92,297.79,298.07,298.04,298.06,297.77,298.05,297.74,297.59,297.61,298.04,297.32,298.05,297.62
113,298.03,297.51,297.94,297.82,298.09,298.07,298.08,297.79,298.07,297.77,297.62,297.64,298.06,297.35,298.07,297.64
114,298.06,297.54,297.97,297.85,298.12,298.09,298.11,297.82,298.10,297.80,297.65,297.67,298.09,297.37,298.10,297.67
115,298.09,297.57,297.99,297.87,298.14,298.11,298.13,297.85,298.12,297.82,297.68,297.69,298.12,297.40,298.12,297.70
116,298.11,297.59,298.01,297.89,298.16,298.13,298.15,297.87,298.14,297.84,297.70,297.71,298.14,297.42,298.14,297.72
117,298.13,297.60,298.03,297.91,298.18,298.15,298.17,297.88,298.16,297.86,297.71,297.73,298.16,297.44,298.16,297.74
118,298.15,297.62,298.04,297.93,298.20,298.16,298.19,297.90,298.18,297.88,297.73,297.75,298.18,297.46,298.18,297.75
119,298.17,297.64,298.06,297.94,298.22,298.18,298.21,297.92,298.20,297.89,297.75,297.77,298.20,297.48,298.20,297.77
120,298.19,297.66,298.08,297.96,298.24,298.20,298.23,297.94,298.22,297.91,297.77,297.78,298.22,297.50,298.22,297.79
121,298.21,297.68,298.09,297.98,298.26,298.21,298.25,297.95,298.24,297.93,297.78,297.80,298.24,297.51,298.24,297.81
122,298.22,297.69,298.11,297.99,298.28,298.23,298.27,297.97,298.26,297.94,297.80,297.82,298.26,297.53,298.26,297.83
123,298.24,297.71,298.13,298.01,298.30,298.24,298.29,297.99,298.28,297.96,297.82,297.84,298.28,297.55,298.28,297.84
124,298.26,297.73,298.14,298.03,298.32,298.26,298.31,298.00,298.30,297.98,297.84,297.85,298.30,297.57,298.30,297.86
125,298.28,297.75,298.16,298.04,298.34,298.27,298.33,298.02,298.32,298.00,297.86,297.87,298.32,297.59,298.32,297.88
126,298.30,297.77,298.17,298.06,298.36,298.29,298.35,298.04,298.34,298.01,297.87,297.89,298.34,297.61,298.34,297.90
127,298.32,297.78,298.19,298.08,298.38,298.31,298.37,298.06,298.36,298.03,297.89,297.91,298.35,297.63,298.36,297.91
128,298.34,297.80,298.21,298.09,298.40,298.32,298.39,298.07,298.38,298.05,297.91,297.93,298.37,297.64,298.38,297.93
129,298.36,297.82,298.22,298.11,298.42,298.34,298.41,298.09,298.40,298.06,297.93,297.94,298.39,297.66,298.40,297.95
130,298.38,297.84,298.24,298.13,298.44,298.35,298.43,298.11,298.42,298.08,297.95,297.96,298.41,297.68,298.42,297.97
131,298.40,297.86,298.26,298.14,298.46,298.37,298.45,298.12,298.44,298.10,297.96,297.98,298.43,297.70,298.44,297.98
132,298.42,297.87,298.27,298.16,298.48,298.38,298.47,298.14,298.46,298.11,297.98,298.00,298.45,297.72,298.46,298.00
133,298.44,297.89,298.29,298.18,298.50,298.40,298.49,298.16,298.48,298.13,298.00,298.01,298.47,297.74,298.48,298.02
134,298.46,297.91,298.31,298.20,298.51,298.42,298.51,298.18,298.50,298.15,298.02,298.03,298.49,297.75,298.50,298.04
135,298.48,297.93,298.32,298.21,298.53,298.43,298.53,298.19,298.52,298.17,298.04,298.05,298.51,297.77,298.52,298.06
136,298.50,297.95,298.34,298.23,298.55,298.45,298.55,298.21,298.54,298.18,298.05,298.07,298.53,297.79,298.54,298.07
137,298.52,297.96,298.36,298.25,298.57,298.46,298.57,298.23,298.56,298.20,298.07,298.08,298.55,297.81,298.56,298.09
138,298.54,297.98,298.37,298.26,298.59,298.48,298.59,298.25,298.58,298.22,298.09,298.10,298.57,297.83,298.58,298.11
139,298.56,298.00,298.39,298.28,298.61,298.50,298.61,298.26,298.60,298.23,298.11,298.12,298.59,297.85,298.60,298.13
140,298.58,298.02,298.41,298.30,298.63,298.51,298.63,298.28,298.62,298.25,298.13,298.14,298.61,297.87,298.62,298.14
141,298.60,298.04,298.42,298.31,298.65,298.53,298.65,298.30,298.64,298.27,298.14,298.15,298.63,297.88,298.64,298.16
142,298.62,298.05,298.44,298.33,298.67,298.54,298.67,298.31,298.66,298.29,298.16,298.17,298.65,297.90,298.66,298.18
143,298.64,298.07,298.45,298.35,298.69,298.56,298.68,298.33,298.68,298.30,298.18,298.19,298.67,297.92,298.68,298.20
144,298.66,298.09,298.47,298.36,298.71,298.57,298.70,298.35,298.70,298.32,298.20,298.21,298.69,297.94,298.70,298.21
145,298.68,298.11,298.49,298.38,298.73,298.59,298.72,298.37,298.72,298.34,298.22,298.22,298.71,297.96,298.72,298.23
146,298.70,298.12,298.50,298.40,298.75,298.61,298.74,298.38,298.74,298.35,298.23,298.24,298.73,297.98,298.74,298.25
147,298.72,298.14,298.52,298.41,298.77,298.62,298.76,298.40,298.76,298.37,298.25,298.26,298.75,297.99,298.76,298.27
148,298.74,298.16,298.54,298.43,298.79,298.64,298.78,298.42,298.78,298.39,298.27,298.28,298.77,298.01,298.78,298.28
149,298.76,298.18,298.55,298.45,298.81,298.65,298.80,298.43,298.80,298.40,298.29,298.30,298.79,298.03,298.80,298.30
150,298.78,298.20,298.57,298.47,298.83,298.67,298.82,298.45,298.82,298.42,298.30,298.31,298.81,298.05,298.82,298.32
151,298.80,298.21,298.59,298.48,298.85,298.68,298.84,298.47,298.84,298.44,298.32,298.33,298.83,298.07,298.84,298.34
152,298.82,298.23,298.60,298.50,298.87,298.70,298.86,298.49,298.86,298.46,298.34,298.35,298.85,298.09,298.86,298.36
153,298.84,298.25,298.62,298.52,298.89,298.72,298.88,298.50,298.87,298.47,298.36,298.37,298.87,298.11,298.88,298.37
154,298.86,298.27,298.64,298.53,298.91,298.73,298.90,298.52,298.89,298.49,298.38,298.38,298.89,298.12,298.90,298.39
155,298.88,298.29,298.65,298.55,298.93,298.75,298.92,298.54,298.91,298.51,298.39,298.40,298.91,298.14,298.92,298.41
156,298.90,298.30,298.67,298.57,298.95,298.76,298.94,298.56,298.93,298.52,298.41,298.42,298.93,298.16,298.94,298.43
157,298.92,298.32,298.68,298.58,298.97,298.78,298.96,298.57,298.95,298.54,298.43,298.44,298.95,298.18,298.96,298.44
158,298.94,298.34,298.70,298.60,298.99,298.80,298.98,298.59,298.97,298.56,298.45,298.45,298.97,298.20,298.98,298.46
159,298.96,298.36,298.72,298.62,299.01,298.81,299.00,298.61,298.99,298.57,298.47,298.47,298.99,298.22,299.00,298.48
160,298.98,298.38,298.73,298.63,299.02,298.83,299.02,298.62,299.01,298.59,298.48,298.49,299.01,298.23,299.02,298.50
161,299.00,298.39,298.75,298.65,299.04,298.84,299.04,298.64,299.03,298.61,298.50,298.51,299.03,298.25,299.04,298.51
162,299.02,298.41,298.77,298.67,299.06,298.86,299.06,298.66,299.05,298.63,298.52,298.52,299.05,298.27,299.06,298.53
163,299.04,298.43,298.78,298.68,299.08,298.87,299.08,298.68,299.07,298.64,298.54,298.54,299.07,298.29,299.08,298.55
164,299.06,298.45,298.80,298.70,299.10,298.89,299.10,298.69,299.09,298.66,298.56,298.56,299.09,298.31,299.10,298.57
165,299.08,298.47,298.82,298.72,299.12,298.91,299.12,298.71,299.11,298.68,298.57,298.58,299.11,298.33,299.11,298.59
166,299.10,298.48,298.83,298.74,299.14,298.92,299.14,298.73,299.13,298.69,298.59,298.59,299.13,298.35,299.13,298.60
167,299.12,298.50,298.85,298.75,299.16,298.94,299.16,298.74,299.15,298.71,298.61,298.61,299.15,298.36,299.15,298.62
168,299.14,298.52,298.87,298.77,299.18,298.95,299.18,298.76,299.17,298.73,298.63,298.63,299.17,298.38,299.17,298.64
169,299.15,298.54,298.88,298.79,299.20,298.97,299.20,298.78,299.19,298.75,298.65,298.65,299.19,298.40,299.19,298.66
170,299.17,298.56,298.90,298.80,299.22,298.98,299.22,298.80,299.21,298.76,298.66,298.66,299.21,298.42,299.21,298.67
171,299.19,298.57,298.92,298.82,299.24,299.00,299.24,298.81,299.23,298.78,298.68,298.68,299.23,298.44,299.23,298.69
172,299.21,298.59,298.93,298.84,299.26,299.02,299.26,298.83,299.25,298.80,298.70,298.70,299.25,298.46,299.25,298.71
173,299.23,298.61,298.95,298.85,299.28,299.03,299.28,298.85,299.27,298.81,298.72,298.72,299.27,298.47,299.27,298.73
174,299.25,298.63,298.96,298.87,299.30,299.05,299.29,298.86,299.29,298.83,298.73,298.74,299.29,298.49,299.29,298.74
175,299.27,298.65,298.98,298.89,299.32,299.06,299.31,298.88,299.31,298.85,298.75,298.75,299.31,298.51,299.31,298.76
176,299.29,298.66,299.00,298.90,299.34,299.08,299.33,298.90,299.33,298.86,298.77,298.77,299.33,298.53,299.33,298.78
177,299.31,298.68,299.01,298.92,299.36,299.10,299.35,298.92,299.35,298.88,298.79,298.79,299.35,298.55,299.35,298.80
178,299.33,298.70,299.03,298.94,299.38,299.11,299.37,298.93,299.37,298.90,298.81,298.81,299.37,298.57,299.37,298.81
179,299.35,298.72,299.05,298.95,299.40,299.13,299.39,298.95,299.39,298.92,298.82,298.82,299.39,298.59,299.39,298.83
180,299.37,298.74,299.06,298.97,299.42,299.14,299.41,298.97,299.41,298.93,298.84,298.84,299.41,298.60,299.41,298.85
181,299.39,298.75,299.08,298.99,299.44,299.16,299.43,298.99,299.43,298.95,298.86,298.86,299.43,298.62,299.43,298.87
182,299.41,298.77,299.10,299.01,299.46,299.17,299.45,299.00,299.45,298.97,298.88,298.88,299.45,298.64,299.45,298.89
183,299.43,298.79,299.11,299.02,299.48,299.19,299.47,299.02,299.47,298.98,298.90,298.89,299.47,298.66,299.47,298.90
184,299.45,298.81,299.13,299.04,299.50,299.21,299.49,299.04,299.49,299.00,298.91,298.91,299.49,298.68,299.49,298.92
185,299.47,298.83,299.15,299.06,299.52,299.22,299.51,299.05,299.51,299.02,298.93,298.93,299.50,298.70,299.51,298.94
186,299.49,298.84,299.16,299.07,299.54,299.24,299.53,299.07,299.53,299.04,298.95,298.95,299.52,298.71,299.53,298.96
187,299.51,298.86,299.18,299.09,299.55,299.25,299.55,299.09,299.55,299.05,298.97,298.96,299.54,298.73,299.55,298.97
188,299.53,298.88,299.20,299.11,299.57,299.27,299.57,299.11,299.57,299.07,298.99,298.98,299.56,298.75,299.57,298.99
189,299.55,298.90,299.21,299.12,299.59,299.28,299.59,299.12,299.59,299.09,299.00,299.00,299.58,298.77,299.59,299.01
190,299.57,298.92,299.23,299.14,299.61,299.30,299.61,299.14,299.61,299.10,299.02,299.02,299.60,298.79,299.61,299.03
191,299.59,298.93,299.24,299.16,299.63,299.32,299.63,299.16,299.63,299.12,299.04,299.03,299.62,298.81,299.63,299.04
192,299.61,298.95,299.26,299.17,299.65,299.33,299.65,299.17,299.65,299.14,299.06,299.05,299.64,298.83,299.65,299.06
193,299.63,298.97,299.28,299.19,299.67,299.35,299.67,299.19,299.67,299.15,299.08,299.07,299.66,298.84,299.67,299.08
194,299.65,298.99,299.29,299.21,299.69,299.36,299.69,299.21,299.69,299.17,299.09,299.09,299.68,298.86,299.69,299.10
195,299.67,299.00,299.31,299.22,299.71,299.38,299.71,299.23,299.70,299.19,299.11,299.11,299.70,298.88,299.71,299.12
196,299.69,299.02,299.33,299.24,299.73,299.40,299.73,299.24,299.72,299.21,299.13,299.12,299.72,298.90,299.73,299.13
197,299.71,299.04,299.34,299.26,299.75,299.41,299.75,299.26,299.74,299.22,299.15,299.14,299.74,298.92,299.75,299.15
198,299.73,299.06,299.36,299.28,299.77,299.43,299.77,299.28,299.76,299.24,299.16,299.16,299.76,298.94,299.77,299.17
199,299.75,299.08,299.38,299.29,299.79,299.44,299.79,299.30,299.78,299.26,299.18,299.18,299.78,298.95,299.79,299.19
200,299.77,299.09,299.39,299.31,299.81,299.46,299.81,299.31,299.80,299.27,299.20,299.19,299.80,298.97,299.81,299.20
201,299.79,299.11,299.41,299.33,299.83,299.47,299.83,299.33,299.82,299.29,299.22,299.21,299.82,298.99,299.83,299.22
202,299.81,299.13,299.43,299.34,299.85,299.49,299.85,299.35,299.84,299.31,299.24,299.23,299.84,299.01,299.85,299.24
203,299.83,299.15,299.44,299.36,299.87,299.51,299.87,299.36,299.86,299.32,299.25,299.25,299.86,299.03,299.87,299.26
204,299.85,299.17,299.46,299.38,299.89,299.52,299.89,299.38,299.88,299.34,299.27,299.26,299.88,299.05,299.89,299.27
205,299.87,299.18,299.47,299.39,299.91,299.54,299.90,299.40,299.90,299.36,299.29,299.28,299.90,299.07,299.91,299.29
206,299.89,299.20,299.49,299.41,299.93,299.55,299.92,299.42,299.92,299.38,299.31,299.30,299.92,299.08,299.93,299.31
207,299.91,299.22,299.51,299.43,299.95,299.57,299.94,299.43,299.94,299.39,299.33,299.32,299.94,299.10,299.95,299.33
208,299.93,299.24,299.52,299.44,299.97,299.58,299.96,299.45,299.96,299.41,299.34,299.33,299.96,299.12,299.97,299.34
209,299.95,299.26,299.54,299.46,299.99,299.60,299.98,299.47,299.98,299.43,299.36,299.35,299.98,299.14,299.99,299.36
